ville,lat,lon
Bruc,41.6944047,2.5000814
Avià,42.0774337,1.8221304
Vilablareix,41.9569396,2.7728439
Piera,41.5216923,1.7526335
Vallirana,41.3877623,1.9320806
Sudanell,41.556894,0.5669118
Navata,42.2248425,2.8584815
Belianes,41.5608943,1.0165748
Ciutadilla,41.5613952,1.1393955
Cardedeu,41.6385167,2.3558408
Arbolí,41.2425941,0.9472601
Vilabertran,42.2826972,2.9814591
Carme,41.5319058,1.6198579
Vacarisses,41.6063852,1.9194608
Lladó,42.2478898,2.8120781
Vilafant,42.2515266,2.9418008
Creixell,41.1677349,1.4391999
Pera,42.283914,2.4938967
Tarroja de Segarra,41.7308605,1.2742092
Vilamòs,42.7471748,0.7277956
Vilopriu,42.1043198,2.9918548
Soleràs,41.4134942,0.6819598
Sidamon,41.6289346,0.8318491
Sant Llorenç Savall,41.6794647,2.0579669
Sant Pere de Torelló,42.0754755,2.2955862
Juneda,41.5485218,0.8245593
Perafort,41.1914523,1.2549257
Begues,41.3328119,1.925468
Seròs,41.4636665,0.4118677
Fonollosa,41.7626001,1.6678299
Corbins,41.6905677,0.6930804
Bellcaire d'Urgell,41.7589072,0.904537
Castellnou de Seana,41.6468732,0.9700315
Blancafort,41.4388964,1.1578726
Fígols,42.1809467,1.8366637
Masó,41.2226045,1.7189708
Granyanella,41.6485431,1.2236395
Olost,41.9851518,2.0941372
Fontanilles,42.0111362,3.1065584
Tagamanent,41.7391505,2.2666145
Lles de Cerdanya,42.3903804,1.6875851
Bisbal del Penedès,41.2778415,1.4890516
Fontcoberta,42.1425379,2.7897817
Brunyola i Sant Martí Sapresa,41.9049114,2.6839536
Torà,41.8120807,1.4037146
Pont de Suert,42.4079576,0.7401693
Hostalric,41.7451889,2.6330963
Llosses,42.1506279,2.1166718
Massoteres,41.7970722,1.3103274
Tallada d'Empordà,42.0798863,3.0555614
Batea,41.094279,0.3125499
Vimbodí i Poblet,41.3848171,1.0491469
Taradell,41.8762624,2.2859511
Pont d'Armentera,41.3832207,1.3611833
Canonja,41.120408,1.1805629
Algerri,41.81505,0.6384169
Torre de Claramunt,41.5402557,1.6842529
Masies de Roda,41.9895262,2.3076733
Torre de l'Espanyol,41.1918453,0.6263184
Vila-seca,41.1109268,1.144961
Molló,42.3485369,2.4043962
Palol de Revardit,42.0694953,2.7958985
Bellmunt del Priorat,41.1632384,0.7646393
Pobla de Mafumet,41.1865974,1.206773
Sénia,38.7851313,0.0897864
Llívia,42.4640786,1.9804293
Argentera,41.9562131,1.0346164
Setcases,42.375331,2.3016103
Sant Guim de Freixenet,41.6575687,1.4208056
Santa Susanna,41.6357256,2.7065933
Bòrdes,42.7375291,0.7200281
Riudoms,41.1390915,1.0519702
Ivars de Noguera,41.8499308,0.5860359
Palma d'Ebre,41.2833974,0.664099
Vilella Alta,39.1248668,-0.4237247
Tírvia,42.514956,1.243896
